1.tif,0,663,5.5,65535,1
2.tif,0.7186,663,5.5,65535,1
3.tif,1.4372,663,5.5,65535,1
4.tif,2.1558,663,5.5,65535,1
5.tif,2.8744,663,5.5,65535,1
6.tif,3.593,663,5.5,65535,1
7.tif,4.3116,663,5.5,65535,1
8.tif,5.0302,663,5.5,65535,1
9.tif,5.7488,663,5.5,65535,1
10.tif,6.4674,663,5.5,65535,1
11.tif,7.186,663,5.5,65535,1
12.tif,7.9046,663,5.5,65535,1
13.tif,8.6232,663,5.5,65535,1
14.tif,9.3418,663,5.5,65535,1
15.tif,10.0604,663,5.5,65535,1
16.tif,10.779,663,5.5,65535,1
17.tif,11.4976,663,5.5,65535,1
18.tif,12.2162,663,5.5,65535,1
19.tif,12.9348,663,5.5,65535,1
20.tif,13.6534,663,5.5,65535,1
21.tif,14.372,663,5.5,65535,1
22.tif,15.0906,663,5.5,65535,1
23.tif,15.8092,663,5.5,65535,1
24.tif,16.5278,663,5.5,65535,1
25.tif,17.2464,663,5.5,65535,1
26.tif,17.965,663,5.5,65535,1
27.tif,18.6836,663,5.5,65535,1
28.tif,19.4022,663,5.5,65535,1
29.tif,20.1208,663,5.5,65535,1
30.tif,20.8394,663,5.5,65535,1
31.tif,21.558,663,5.5,65535,1
32.tif,22.2766,663,5.5,65535,1
33.tif,22.9952,663,5.5,65535,1
34.tif,23.7138,663,5.5,65535,1
35.tif,24.4324,663,5.5,65535,1
36.tif,25.151,663,5.5,65535,1
37.tif,25.8696,663,5.5,65535,1
38.tif,26.5882,663,5.5,65535,1
39.tif,27.3068,663,5.5,65535,1
40.tif,28.0254,663,5.5,65535,1
41.tif,28.744,663,5.5,65535,1
42.tif,29.4626,663,5.5,65535,1
43.tif,30.1812,663,5.5,65535,1
44.tif,30.8998,663,5.5,65535,1
45.tif,31.6184,663,5.5,65535,1
46.tif,32.337,663,5.5,65535,1
47.tif,33.0556,663,5.5,65535,1
48.tif,33.7742,663,5.5,65535,1
49.tif,34.4928,663,5.5,65535,1
50.tif,35.2114,663,5.5,65535,1
51.tif,35.93,663,5.5,65535,1
52.tif,36.6486,663,5.5,65535,1
53.tif,37.3672,663,5.5,65535,1
54.tif,38.0858,663,5.5,65535,1
55.tif,38.8044,663,5.5,65535,1
56.tif,39.523,663,5.5,65535,1
57.tif,40.2416,663,5.5,65535,1
58.tif,40.9602,663,5.5,65535,1
59.tif,41.6788,663,5.5,65535,1
60.tif,42.3974,663,5.5,65535,1
61.tif,43.116,663,5.5,65535,1
62.tif,43.8346,663,5.5,65535,1
63.tif,44.5532,663,5.5,65535,1
64.tif,45.2718,663,5.5,65535,1
65.tif,45.9904,663,5.5,65535,1
66.tif,46.709,663,5.5,65535,1
67.tif,47.4276,663,5.5,65535,1
68.tif,48.1462,663,5.5,65535,1
69.tif,48.8648,663,5.5,65535,1
70.tif,49.5834,663,5.5,65535,1
71.tif,50.302,663,5.5,65535,1
72.tif,51.0206,663,5.5,65535,1
73.tif,51.7392,663,5.5,65535,1
74.tif,52.4578,663,5.5,65535,1
75.tif,53.1764,663,5.5,65535,1
76.tif,53.895,663,5.5,65535,1
77.tif,54.6136,663,5.5,65535,1
78.tif,55.3322,663,5.5,65535,1
79.tif,56.0508,663,5.5,65535,1
80.tif,56.7694,663,5.5,65535,1
81.tif,57.488,663,5.5,65535,1
82.tif,58.2066,663,5.5,65535,1
83.tif,58.9252,663,5.5,65535,1
84.tif,59.6438,663,5.5,65535,1
85.tif,60.3624,663,5.5,65535,1
86.tif,61.081,663,5.5,65535,1
87.tif,61.7996,663,5.5,65535,1
88.tif,62.5182,663,5.5,65535,1
89.tif,63.2368,663,5.5,65535,1
90.tif,63.9554,663,5.5,65535,1
91.tif,64.674,663,5.5,65535,1
92.tif,65.3926,663,5.5,65535,1
93.tif,66.1112,663,5.5,65535,1
94.tif,66.8298,663,5.5,65535,1
95.tif,67.5484,663,5.5,65535,1
96.tif,68.267,663,5.5,65535,1
97.tif,68.9856,663,5.5,65535,1
98.tif,69.7042,663,5.5,65535,1
99.tif,70.4228,663,5.5,65535,1
100.tif,71.1414,663,5.5,65535,1
101.tif,71.86,663,5.5,65535,1
102.tif,72.5786,663,5.5,65535,1
103.tif,73.2972,663,5.5,65535,1
